pitch_type,release_speed,release_pos_x,release_pos_z,pfx_x,pfx_z,plate_x,plate_z,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,effective_speed,release_spin_rate,release_extension,release_pos_y,spin_axis,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in
SL,84.1,2.02,5.65,-0.02,0.89,-1.03,1.66,-6.945096768138847,-122.38579551340744,-4.631266918210405,0.9885262000191252,21.78403377421693,-22.5014472407552,3.24,1.67,83.5,2239.0,5.6,54.85,146.0,2.31,-0.02,-0.02
SL,82.8,1.99,5.64,0.07,0.88,-1.16,0.8,-7.233676237107639,-120.37138511442056,-6.269199263695346,1.9032650449119644,20.82885503220385,-22.57031244558256,3.33,1.74,82.2,2278.0,5.7,54.77,150.0,2.42,0.07,0.07
CH,87.9,2.03,5.55,1.24,1.19,-1.42,1.79,-10.759045730235888,-127.58153068684469,-5.412485686180566,15.745718442706552,24.87662663884374,-18.16665757191352,3.36,1.71,86.8,2049.0,5.6,54.9,127.0,1.76,1.24,1.24
SL,89.9,1.68,5.66,0.05,0.95,-0.72,2.31,-6.010191800095172,-130.8112786514627,-4.342544542570423,1.8675547980720677,26.93782546412156,-20.525592533898195,3.3,1.5,89.2,2327.0,5.8,54.71,151.0,1.86,0.05,-0.05
FF,93.9,1.52,5.83,0.78,1.44,-0.08,2.3,-5.773527730264775,-136.5763669263758,-6.519819535951363,11.072316228881585,28.83009770265624,-12.884227198454298,3.3,1.5,92.8,2155.0,5.5,54.96,137.0,1.14,0.78,-0.78
SL,88.7,1.67,5.77,-0.28,0.43,-0.35,2.58,-4.303359460884155,-129.24075579713977,-2.703627001270274,-2.43597121993312,23.65020055971521,-27.041427996692136,3.47,1.59,88.6,2206.0,5.9,54.63,168.0,2.43,-0.28,0.28
SL,88.4,1.64,5.86,-0.25,0.52,-0.17,2.95,-3.870632999939952,-128.87789912935276,-2.1621999292422127,-2.060923704534458,23.22432553707837,-26.167769131469665,3.47,1.59,88.0,2190.0,5.6,54.87,176.0,2.36,-0.25,0.25
FF,93.4,1.67,5.74,0.97,1.3,1.15,3.48,-3.403972178484634,-136.12052061387425,-2.933666253597008,12.800805501918886,28.413501576117504,-15.533005504119409,3.54,1.8,92.3,2050.0,5.5,55.05,134.0,1.29,0.97,-0.97
SL,88.1,1.76,5.78,-0.23,0.68,0.03,2.46,-3.7060186512942144,-128.39016392717005,-3.4124187814106364,-1.890144285842292,23.657946741447788,-24.201715057080904,3.47,1.59,87.8,2267.0,5.8,54.74,168.0,2.23,-0.23,0.23
FF,93.2,1.79,5.55,0.97,1.1,0.16,2.56,-6.241864641818442,-135.66638509980268,-4.300214615372359,13.32398859840516,29.039973369246688,-17.798856284941376,3.55,1.63,92.3,2045.0,5.7,54.84,135.0,1.51,0.97,0.97
FF,94.2,1.72,5.5,1.16,1.16,-0.31,3.91,-7.71916043660005,-136.9477031710745,-0.938658401972881,16.326144511256448,32.00800826745482,-17.69015014783591,3.48,1.55,92.7,2057.0,5.6,54.93,127.0,1.43,1.16,1.16
SL,88.9,1.84,5.68,-0.14,0.37,0.0,1.98,-4.198599128816312,-129.51088024662266,-3.859177152091404,-0.7872638419936933,24.65761978461828,-27.39301730753057,3.55,1.63,88.8,2279.0,6.0,54.51,174.0,2.48,-0.14,-0.14
FF,93.7,1.73,5.62,0.91,1.24,0.69,3.56,-4.631538023058494,-136.50189905943571,-2.3313661597128066,12.353155909396127,28.68169716103569,-16.322302736955944,3.55,1.63,92.7,2083.0,5.5,54.99,132.0,1.34,0.91,0.91
FF,93.6,1.7,5.62,0.88,1.16,0.05,2.81,-6.120365281622172,-136.26620828974268,-4.069570609004749,12.260389919901629,28.119688036227465,-16.980482578080423,3.55,1.63,92.6,2064.0,5.5,54.96,132.0,1.43,0.88,0.88
