pitch_type,release_speed,release_pos_x,release_pos_z,pfx_x,pfx_z,plate_x,plate_z,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,effective_speed,release_spin_rate,release_extension,release_pos_y,spin_axis,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in
FF,97.2,2.54,5.76,1.49,1.14,1.36,2.54,-6.666247245162592,-141.2470439794019,-5.71534725024633,21.45476990294583,34.36019196810862,-15.769923116322262,3.53,1.59,98.0,2562.0,6.9,53.55,122.0,1.29,1.49,-1.49
CH,86.6,2.49,5.5,1.21,-0.22,0.5,0.75,-7.335728678269314,-125.81116243019228,-4.680959652912223,14.415284891759365,26.826832500553817,-33.734564096892235,3.48,1.62,87.4,1546.0,7.0,53.48,111.0,3.29,1.21,-1.21
FF,96.6,2.6,5.76,1.31,1.24,2.1,2.14,-4.3685593670435,-140.39446932612975,-6.921823802515921,18.23357686957776,34.36043567312034,-14.37162331504749,3.43,1.62,97.2,2470.0,6.9,53.64,127.0,1.22,1.31,-1.31
CH,87.0,2.53,5.54,0.96,-0.16,0.52,1.78,-6.910033445512452,-126.52634470087013,-2.536122705707134,11.66520137633113,25.565711029501905,-33.554437076512414,3.46,1.6,88.7,1570.0,7.4,53.13,107.0,3.17,0.96,-0.96
CH,85.8,2.51,5.57,0.99,-0.12,0.64,1.22,-6.554229613887255,-124.77000886242703,-3.8255852978498623,11.695492550694487,25.59254326735945,-32.8035101784171,3.46,1.6,87.2,1417.0,7.3,53.23,107.0,3.22,0.99,-0.99
FF,95.6,2.59,5.77,1.09,1.09,0.84,2.65,-7.142936914238166,-139.0456174544617,-5.091807139287831,15.703345325805534,31.65823131478794,-17.093486073379378,3.46,1.56,96.5,2396.0,6.9,53.64,128.0,1.41,1.09,-1.09
FF,96.7,2.6,5.77,1.08,1.2,1.81,3.8,-4.677317569264548,-140.78206554271054,-2.4296283502909333,15.368928998719287,34.39748261606132,-15.991822928753445,3.46,1.58,98.5,2450.0,7.5,53.04,121.0,1.25,1.08,-1.08
CH,86.6,2.54,5.65,1.06,0.09,0.57,2.3,-7.0618797167620855,-125.98313044935628,-2.050232041048551,12.67490530485797,24.418129283475587,-30.995676748599937,3.51,1.64,89.3,1364.0,7.9,52.62,114.0,2.94,1.06,1.06
FF,96.7,2.42,5.73,1.31,1.23,0.52,3.04,-8.141894230292914,-140.5194568154422,-4.429365195045194,19.30192884073645,34.03440819080191,-15.031642187362804,3.51,1.64,97.5,2352.0,7.0,53.55,126.0,1.22,1.31,1.31
FF,95.9,2.41,5.71,1.32,1.06,-0.13,0.94,-9.775707742012496,-138.97772950537853,-9.4316191982147,19.2963260753509,31.78478676662006,-16.43200437260312,3.64,1.71,96.5,2331.0,6.9,53.62,124.0,1.45,1.32,1.32
CH,85.2,2.4,5.36,1.3,-0.1,0.44,1.51,-7.383029923513721,-123.85967570159276,-2.5738003813966124,14.879348984559307,24.81060300526693,-32.90915274012361,3.98,1.87,87.0,1524.0,7.5,53.0,110.0,3.25,1.3,-1.3
CH,85.3,2.51,5.41,1.43,-0.01,-0.09,1.89,-9.074127991777022,-123.9055775677849,-1.9528826829189447,16.57361517240718,24.19949810050639,-32.14389455822435,3.98,1.87,86.2,1645.0,6.9,53.61,111.0,3.15,1.43,-1.43
CH,85.2,2.38,5.51,1.28,0.01,-0.52,2.49,-9.52286498325153,-123.8048278266262,-0.8091773929765287,14.97333070857445,23.433431167451698,-32.165057566135395,3.98,1.92,86.5,1583.0,7.1,53.4,106.0,3.13,1.28,-1.28
SI,94.3,2.33,5.62,1.44,1.11,-1.12,2.68,-12.242638125454196,-136.72875378764638,-4.4182127855405335,20.834387643234123,30.94474440203849,-17.361105657239204,4.07,1.96,94.7,2473.0,6.8,53.71,121.0,1.47,1.44,-1.44
SI,95.3,2.33,5.63,1.55,1.17,0.17,2.64,-9.215811420969995,-138.289355516469,-4.806122771280911,22.03917643720196,34.03198795070093,-16.214517735710544,3.35,1.6,95.3,2653.0,6.7,53.81,124.0,1.37,1.55,-1.55
CH,84.7,2.39,5.43,1.26,0.02,1.18,1.26,-5.3961793958996696,-123.21664174023344,-3.4233431195731674,13.905099380590984,25.92272656505664,-31.423380742330508,3.32,1.63,85.3,1208.0,6.8,53.66,109.0,3.17,1.26,-1.26
SI,94.5,2.41,5.59,1.45,1.14,0.28,1.98,-8.843454397469694,-137.245639483923,-6.306810558579899,20.227075310279545,29.17441661082317,-16.52123956648024,3.35,1.6,95.3,2516.0,6.8,53.73,122.0,1.41,1.45,-1.45
