release_speed,release_pos_x,release_pos_z,pfx_x,pfx_z,plate_x,plate_z,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,effective_speed,release_spin_rate,release_extension,release_pos_y,spin_axis,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in
85.4,3.09,6.36,-0.11,0.38,-0.13,2.02,-7.326885214,-124.3272032,-4.839234933,-0.049365195,18.75821033364564,-27.54776112,3.18,1.52,86,2174,6.1,54.42,141,2.68,-0.11,0.11
85.3,2.74,6.24,-0.09,0.14,-0.25,2.35,-6.839410097,-124.1411254,-3.157491436,0.3640735150057744,23.037079246654773,-30.34555493,3.34,1.55,85.3,2260,6.1,54.36,45,2.98,-0.09,0.09
94.6,2.48,6.46,0.92,1.45,-0.38,2.4,-9.447434139,-137.2612896,-8.054454788,13.70597784268032,30.638933879480152,-12.20397794,3.34,1.55,93.9,2407,6.1,54.43,149,1.12,0.92,-0.92
83.9,2.39,6.53,0.75,1.23,0.74,1.64,-5.277186836,-122.0309719,-7.366239954,8.472907889354248,22.61105064706268,-18.63323671,3.34,1.55,83.8,1584,6.1,54.35,141,2,0.75,-0.75
94,2.77,6.4,0.92,1.44,-0.04,3.33,-9.225917858,-136.5285214,-5.411348064,13.415895240200676,28.435403935559744,-13.09307703,3.34,1.59,93.6,2357,6,54.46,143,1.14,0.92,-0.92
95.1,3.11,6.21,1.09,1.47,0.59,3.88,-9.032483314,-138.2380315,-3.793770545,15.868878442751306,26.907943877172283,-12.56242852,3.38,1.63,95.3,2488,6.2,54.3,143,1.03,1.09,1.09
94.3,3.03,6.33,1.21,1.44,0.97,2.07,-8.04114811,-137.0466026,-8.598164057,17.011113112084217,27.00461417358069,-12.27603994,3.46,1.63,94.5,2511,6.2,54.27,139,1.11,1.21,1.21
95.5,2.9,6.38,0.95,1.53,-0.05,3.77,-9.882058483,-138.7780323,-4.668834103,14.468899241788984,30.070582413477386,-11.54162795,3.46,1.63,95.3,2546,6.2,54.35,139,0.97,0.95,0.95
95,2.69,6.33,0.97,1.66,-0.81,1.46,-11.26164342,-137.561334,-10.74375521,14.73771522564396,29.22371594124849,-8.793928974,3.46,1.63,94.6,2574,6.2,54.25,146,0.88,0.97,0.97
94.7,2.96,6.34,0.71,1.34,0.36,1.99,-8.351812438,-137.5309996,-8.681359432,10.68819464681342,27.074838866871023,-13.44526694,3.46,1.63,94.9,2491,6.3,54.21,133,1.19,0.71,0.71
96.1,2.79,6.42,0.76,1.4,-1.16,3.07,-12.10967624,-139.4948998,-6.474626286,12.403689071293655,28.14540032602689,-12.51234731,3.38,1.63,96,2548,6.1,54.36,165,1.06,0.76,0.76
94,2.82,6.45,0.86,1.6,-0.16,2.32,-9.547695548,-136.4527077,-8.518465849,12.702888715850086,27.83750270565414,-10.41500758,3.46,1.63,93.8,2461,6.2,54.34,149,0.98,0.86,0.86
92.3,2.71,6.44,0.78,1.51,0.02,2.12,-8.476431108,-133.8812114,-8.359628959,11.186416691022012,29.71279008519389,-12.34013374,3.46,1.63,91.7,2270,6.2,54.34,149,1.19,0.78,0.78
94.2,3.05,6.32,1.07,1.45,1.6,3.98,-6.086450675,-137.0430482,-3.583612546,14.788100361691662,30.69308275167157,-13.30533124,3.71,1.78,93.7,2418,6.1,54.45,142,1.12,1.07,1.07
94,2.65,6.49,0.76,1.59,-1.04,1.67,-11.16495556,-136.1694262,-10.2426272,11.774385272370376,28.276862344590228,-10.2583425,3.73,1.76,93.6,2432,6.2,54.29,148,1,0.76,0.76
95.2,2.65,6.52,0.85,1.47,-0.51,2.19,-10.13805696,-138.0573996,-8.97796652,13.003074603518982,28.33217952006901,-11.56039983,3.05,1.42,94.9,2321,6.1,54.37,150,1.05,0.85,0.85
85.7,3.11,6.3,-0.27,0.4,0.01,2.47,-6.762167344,-124.7306116,-3.65995031,-1.671262309,21.836929704531663,-27.4869102,3.05,1.42,86,2159,6.2,54.32,223,2.67,-0.27,-0.27
81.6,2.4,6.61,0.51,1.11,-0.04,3.51,-6.431515349,-118.8521038,-2.609409067,5.969617074505908,19.937292180320743,-21.31790011,3.61,1.74,81.8,1426,6.1,54.44,140,2.28,0.51,-0.51
95,3.12,6.25,1.1,1.12,0,2.95,-10.58870079,-137.9962396,-5.550956587,16.240549442397732,26.53641953451256,-16.71527588,3.61,1.74,95.1,2372,6.1,54.38,123,1.38,1.1,-1.1
83.5,2.22,6.6,1.04,1.45,-0.71,1.39,-8.749061431,-121.0670534,-8.353324693,11.912085452560024,22.85517519448146,-16.44305963,3.38,1.62,83.2,1479,6.2,54.3,148,1.84,1.04,-1.04
96.4,2.9,6.39,1.12,1.59,0.29,3.64,-9.435293263,-139.8671144,-5.22339434,16.912833256509916,35.00839942883688,-10.39378646,3.61,1.74,95.5,2388,6.2,54.34,140,0.9,1.12,-1.12
95.4,2.96,6.41,1.07,1.68,0.23,4.12,-9.53024182,-138.4446617,-4.017988022,16.148442169324333,36.96575218290696,-10.08397822,3.4,1.61,94,2449,6.1,54.41,139,0.88,1.07,-1.07
93.4,2.97,6.47,0.75,1.69,0.42,3.25,-8.183316261,-135.5400396,-6.129006835,11.172326964415172,33.41390552250165,-10.19221922,3.61,1.74,92.4,2345,6.2,54.35,144,0.96,0.75,-0.75
92.8,2.8,6.43,1.17,1.65,0.24,3.08,-9.037257223,-134.5457559,-6.232871332,16.294890124388036,33.793104369658685,-11.01296594,3.61,1.74,91.4,2305,6,54.46,141,1.05,1.17,-1.17
83.5,2.28,6.53,0.95,0.97,-0.43,1.83,-8.071596603,-121.3137154,-6.363398131,10.779588996150263,20.06538965718004,-21.57892434,3.49,1.62,83.8,1511,6.2,54.29,199,2.27,0.95,-0.95
95.3,2.79,6.29,0.68,1.58,-0.79,3.53,-10.90268903,-138.2738084,-5.0944234,11.298790420788224,32.314657988513474,-10.98080798,3.49,1.62,94.7,2331,6.2,54.28,142,0.96,0.68,-0.68
95.3,2.85,6.33,1.01,1.27,0.21,2.8,-9.158963331,-138.3254599,-6.427313208,15.095214573270509,31.466658427647246,-14.57605419,3.49,1.62,94.7,2311,6.1,54.38,143,1.26,1.01,-1.01
93.9,3,6.31,0.87,1.68,0.33,2.86,-8.772777005,-136.2944323,-6.834963178,12.800367377992488,32.23022867642821,-9.86682706,3.49,1.62,93.1,2390,6.1,54.39,142,0.93,0.87,-0.87
94.7,3.01,6.42,0.95,1.6,-0.03,4.04,-9.992233166,-137.4828851,-4.017968132,14.365319172281868,32.464675929492714,-11.23220247,3.4,1.62,94,2354,6.1,54.35,145,0.97,0.95,-0.95
94.5,3.01,6.22,0.77,1.47,-0.49,3.31,-10.78720071,-137.1784839,-5.128677652,12.091012989951434,29.644412016442484,-12.62100711,3.49,1.62,94.2,2321,6.2,54.32,141,1.09,0.77,-0.77
75.5,2.52,6.54,-0.43,-1.28,0.75,0.6,-2.909842237,-109.9550834,-2.936223181,-2.957416493,20.64436987837446,-42.21137826,3.43,1.62,74.9,2246,5.9,54.59,341,5.29,-0.43,0.43
94.8,2.8,6.37,0.84,1.41,-0.13,3.58,-9.473251963,-137.78663,-4.745822936,12.730079458693435,30.285669862784488,-13.32663444,3.42,1.65,94.5,2262,6.1,54.37,143,1.13,0.84,-0.84
83.4,2.43,6.5,0.43,1.21,-0.72,1.44,-8.029371216,-121.1233685,-7.588013537,5.667030112602643,21.35272441773575,-18.92923078,3.4,1.65,83.3,1370,6.1,54.37,136,2.05,0.43,-0.43
93.5,3.09,6.26,1.03,1.45,-0.06,2.79,-10.36485355,-135.6873021,-6.354193172,15.017910500929766,28.822234346314342,-12.98681462,3.42,1.65,93.2,2372,6.2,54.29,136,1.17,1.03,-1.03
93.5,2.97,6.34,1.09,1.59,0.06,3.12,-9.86006257,-135.7388896,-6.019983925,15.645932339656513,31.266159103782268,-11.31465917,3.42,1.65,93.1,2312,6.3,54.19,141,1.04,1.09,-1.09
93.4,2.64,6.47,0.77,1.46,-0.57,4.26,-9.913759862,-135.7558598,-3.193418354,11.568532727950297,26.34286041,-13.50724757,3.32,1.59,93.4,2221,6.1,54.37,141,1.14,0.77,-0.77
93.5,3.13,6.3,1.07,1.29,1.56,4.41,-6.373746173,-136.153321,-1.982402702,14.626760078910651,28.027429824000613,-15.86258593,3.35,1.63,93.5,2194,6.1,54.36,134,1.3,1.07,-1.07
95.1,3.01,6.26,0.63,1.63,-0.48,3.28,-10.55217437,-137.9608821,-5.762646124,10.50533232453183,31.66816429,-10.28518389,3.35,1.54,94.8,2318,6.4,54.13,141,0.92,0.63,-0.63
82.1,2.11,6.63,0.7,1.46,-0.78,0.97,-7.852505426,-119.0340467,-9.048534693,8.113661031642268,22.00056349611164,-16.69243991,3.17,1.46,81.8,1397,6.2,54.27,150,1.93,0.7,-0.7
82.1,2.51,6.58,0.83,1.27,1.17,2.07,-4.623873397,-119.4295568,-6.149840999,8.779215941115998,21.4430418,-19.0644756,3.35,1.54,82,1450,6.1,54.4,141,2.1,0.83,-0.83
96.6,2.94,6.41,0.83,1.5,0.17,3.82,-9.233051171,-140.3451289,-4.771030211,12.94944266451096,29.50760327140547,-11.33607037,3.35,1.54,96.5,2387,6.1,54.35,141,0.93,0.83,-0.83
95.1,2.95,6.32,0.69,1.59,-0.49,3.59,-10.50302158,-138.1643676,-5.080823098,11.040879597414262,28.775852619523253,-10.77407357,3.35,1.54,94.9,2454,6.1,54.41,148,0.92,0.69,-0.69
85.9,2.89,6.27,-0.17,0.33,-1.11,1.43,-9.072559313,-124.7043857,-5.82872995,0.008039187,25.084772693210503,-27.73507987,3.26,1.51,85.5,2260,6.1,54.36,137,2.78,-0.17,0.17
78.9,2.4,6.52,-0.5,-1.44,-0.47,-2.08,-5.2472394,-114.3867708,-8.916148582,-3.070655167,27.464130322631757,-42.60428767,3.24,1.49,77.3,2267,6.1,54.43,344,5.22,-0.5,0.5
95.5,3.15,6.37,1.19,1.55,0.68,4.37,-9.135569204,-138.6318976,-3.031193482,17.50774089,34.85483713266227,-11.76570996,3.35,1.54,94.4,2354,6.1,54.43,140,0.98,1.19,-1.19
81,2.33,6.59,0.65,1.07,-0.38,2.24,-7.272157642,-117.7245469,-5.060318499,7.513992097064826,23.664644306006046,-21.48172185,3.35,1.54,80.6,1491,6.2,54.32,142,2.43,0.65,-0.65
93.6,3.03,6.36,0.85,1.45,-0.41,3.01,-10.68396774,-135.8941672,-6.067290805,12.809774455661705,27.93057177505832,-13.03929492,3.35,1.54,93.2,2306,6,54.48,141,1.15,0.85,-0.85
86.3,2.82,6.2,-0.18,0.64,-1.7,0.68,-10.39842954,-125.2216615,-8.259197807,0.01947549,23.035988730517545,-23.95057057,3.1,1.47,86.8,2237,6.5,53.95,105,2.42,-0.18,0.18
93.6,3.25,6.12,1.12,1.11,0.74,0.9,-8.899154255,-135.6511032,-10.07119232,15.838174099666098,29.835453638015917,-16.38694145,3.55,1.72,93.1,2346,6.2,54.3,131,1.52,1.12,-1.12
80.3,2.41,6.51,0.89,1.38,0.08,3.69,-6.818187071,-116.8013415,-2.156085578,9.380619435286588,21.59756447908002,-19.35550332,3.46,1.63,80.1,1708,6.1,54.36,143,2.16,0.89,-0.89
92.3,3.1,6.31,1.11,1.31,0.42,1.35,-9.18209484,-133.7952892,-9.56339751,15.368236709980192,29.842419699277247,-14.45861354,3.51,1.71,91.7,2399,6.2,54.31,138,1.39,1.11,-1.11
80.6,2.3,6.61,0.45,1.47,0.28,4.38,-5.312045423,-117.340995,-1.080375151,5.133259937919104,22.43546297647601,-18.63570224,3.52,1.72,80.2,1582,6,54.47,142,2.04,0.45,-0.45
91.7,3.03,6.3,0.98,1.62,0.13,2.81,-9.43829557,-133.0990009,-6.406187676,13.800343341144178,30.685736827354468,-11.67802108,3.55,1.63,91.2,2409,6.3,54.19,136,1.12,0.98,-0.98
93.4,2.96,6.27,0.91,1.38,0.21,4.03,-9.039495076,-135.7056739,-2.999097992,13.362547088366698,31.750674141060795,-14.70057056,3.43,1.63,92.6,2351,6.1,54.42,135,1.26,0.91,-0.91
80.6,2.31,6.51,0.64,1.26,-0.5,2.16,-7.458447271,-117.0885247,-5.418142152,7.2381607299697235,20.68410456774704,-19.70916905,3.43,1.63,80.8,1448,6.3,54.16,141,2.24,0.64,-0.64
93.4,3.17,6.2,1.26,1.2,0.96,1.72,-8.446059283,-135.6279845,-8.369105218,17.440406029526283,29.12825901888572,-15.71685279,3.43,1.63,93.2,2412,6.2,54.28,130,1.42,1.26,-1.26
92.8,2.91,6.26,0.85,1.59,-0.17,3.2,-9.697210031,-134.7086193,-5.448873983,12.43408835478244,28.95152985828967,-11.80714462,3.43,1.63,92.3,2383,6.1,54.38,143,1.07,0.85,-0.85
93.1,2.82,6.2,1.16,1.16,-0.91,0.91,-12.02616255,-134.7107844,-10.26331309,16.712564292870272,28.42963242646428,-15.83829289,3.6,1.72,92.6,2329,6.2,54.26,138,1.49,1.16,-1.16
92.5,3.07,6.29,1.07,1.28,1.47,2.61,-6.382308094,-134.4510942,-6.318797891,14.386599362568033,28.76158905,-15.50819814,3.6,1.72,92.1,2359,6.1,54.41,139,1.39,1.07,-1.07
74.4,2.62,6.54,-0.34,-1.31,-0.66,0.41,-6.100562664,-108.2044626,-2.987440492,-1.533159076,20.393530254919614,-42.04627578,3.61,1.69,73.8,2222,6,54.46,343,5.46,-0.34,0.34
87.9,3.26,6.13,-0.21,0.58,-0.24,2.61,-8.005767453,-127.8713289,-3.66120146,-0.818401213,24.62852402115784,-25.20319992,3.55,1.63,88,2311,6.2,54.3,157,2.35,-0.21,-0.21
77.5,2.55,6.5,-0.1,-1.07,0.44,1.19,-4.32543635,-112.8412531,-2.432849368,-0.011421705,20.95839016717976,-41.10737412,3.46,1.57,77,2224,6,54.55,340,4.87,-0.1,-0.1
94.4,3.05,6.27,1.09,1.41,-0.27,2.44,-10.98179489,-136.8769482,-7.335172478,16.208793411976668,32.08742284109444,-12.860629,3.55,1.63,93.6,2499,6.1,54.35,136,1.17,1.09,1.09
88.5,2.96,6.31,-0.17,0.43,-1.7,2.13,-11.00612728,-128.4871451,-5.061799933,0.2241615195309906,24.28135204476988,-26.55843815,3.46,1.57,88.6,2394,6.3,54.19,131,2.47,-0.17,-0.17
87.3,2.96,6.2,-0.04,0.49,-0.32,2.93,-7.829034259,-127.0835476,-2.796543816,1.006274310794365,23.11424023,-26.48813763,3.39,1.56,87.8,2319,6.3,54.16,148,2.47,-0.04,-0.04
93.7,2.97,6.38,0.9,1.41,-0.3,2.2,-10.3620756,-135.8790659,-8.125995372,13.343079796176172,29.04690626031713,-12.98416495,3.41,1.56,93.2,2306,6.1,54.37,142,1.2,0.9,-0.9
75.6,2.45,6.6,-0.35,-1.27,0.5,1.43,-3.432887611,-110.0641593,-1.37627523,-2.149598209,20.62297329513546,-42.41139066,3.28,1.63,75.1,2190,6,54.46,340,5.27,-0.35,0.35
92.6,2.81,6.36,0.9,1.21,-0.18,1.69,-9.550179617,-134.3586937,-8.70790136,12.918650497995731,28.115687251927067,-15.72932373,3.39,1.6,92.3,2223,6.2,54.31,138,1.45,0.9,-0.9
93.7,2.97,6.36,1.03,1.33,1.06,2.27,-7.193159038,-136.0889498,-7.741277314,14.399319717531634,28.92572213518481,-14.11156343,3.52,1.7,93.4,2366,6.1,54.35,141,1.27,1.03,-1.03
83.4,2.6,6.58,0.93,1.41,1.44,0.63,-4.470887496,-121.0161968,-9.916234269,9.990476618269994,24.29656119224736,-16.56672198,3.57,1.7,83,1738,6.2,54.27,144,1.9,0.93,-0.93
73.8,2.62,6.72,-0.52,-1.05,0.29,3.08,-3.79355326,-107.373386,1.7296524957830286,-3.284044226,20.06393387351222,-40.81027389,3.53,1.69,73,2110,5.9,54.59,331,5.26,-0.52,0.52
86.4,2.97,6.16,-0.19,0.45,-0.59,1.96,-8.083638863,-125.6315685,-4.706555291,-0.428597631,24.31083031576017,-26.70353955,3.41,1.56,86.3,2258,6.2,54.31,117,2.6,-0.19,-0.19
85.9,2.93,6.22,-0.12,0.47,-2.02,2.68,-11.43044178,-124.6659619,-3.068896772,0.8905483951114916,23.488512424342968,-26.87963199,3.22,1.55,85.8,2220,6.2,54.29,119,2.62,-0.12,-0.12
91.9,2.73,6.4,0.93,1.51,0.58,1.52,-7.440580979,-133.3603403,-9.734129595,12.728949795231186,29.20827171348509,-12.1357269,3.3,1.76,91.5,2366,6.2,54.27,143,1.2,0.93,0.93
94.2,2.54,6.44,0.76,1.48,-0.94,3.59,-10.65608683,-136.7305756,-4.931852887,11.87570082146112,30.985576221705177,-12.68685225,3.37,1.52,93.7,2403,6.2,54.31,147,1.11,0.76,0.76
93,2.39,6.52,0.94,1.36,-0.35,2.89,-9.054632921,-134.9920878,-6.404478905,13.574936237131675,31.54402098753164,-14.33202282,3.32,1.47,92.3,2380,6.2,54.33,146,1.31,0.94,0.94
94.7,2.87,6.39,0.91,1.51,-0.85,3.57,-11.68179601,-137.3366021,-4.974534893,14.164205194465527,32.298081078737816,-12.09458832,3.31,1.54,94.1,2409,6.2,54.26,146,1.06,0.91,-0.91
76.6,2.53,6.47,-0.58,-1.06,-1.2,0.15,-6.833842091,-111.3897683,-4.400248426,-3.531696028,20.58437374334875,-40.37939688,3.2,1.49,76.5,2265,6.3,54.19,342,4.96,-0.58,0.58
93.7,2.47,6.39,0.88,1.58,-0.88,2.3,-10.53064867,-135.9079686,-8.28728645,13.203347548701958,29.10062225039528,-10.84354594,3.44,1.58,93.3,2484,6.2,54.33,151,1.03,0.88,-0.88
92.6,2.5,6.47,0.81,1.51,-0.59,2.77,-9.616081529,-134.4500973,-6.890501204,11.88183140109509,28.327891783179883,-12.49893252,3.37,1.63,92.2,2437,6.1,54.38,141,1.15,0.81,-0.81
93.3,2.46,6.37,1.03,1.46,-0.4,1.17,-9.615913313,-135.2340173,-10.82734239,14.672840187327886,27.857585398029386,-12.04122775,3.4,1.6,93.6,2483,6.5,53.97,149,1.17,1.03,-1.03
93.4,2.77,6.46,1.07,1.55,0.96,2.76,-7.007653649,-135.7366061,-7.156343709,14.816278587002184,29.309506192544905,-11.63929203,3.38,1.63,93.2,2533,6.2,54.29,145,1.07,1.07,-1.07
93.2,2.5,6.45,0.9,1.63,-0.25,3.09,-9.004567717,-135.3898029,-6.437476428,13.010794998217404,29.28814231875345,-10.81409076,3.36,1.58,93,2500,6.3,54.24,145,1,0.9,-0.9
93.1,2.52,6.55,0.99,1.58,1.37,3.89,-5.103324433,-135.5119375,-4.513539561,13.274133508738542,29.68096555201421,-11.93162297,3.29,1.48,92.8,2469,6.1,54.38,145,1.05,0.99,-0.99
